"agegroup","popage","propage"
1,407903,0.0378873697311958
2,282264,0.0262176069551002
3,817453,0.0759277182292731
4,1430272,0.132848358752392
5,896025,0.0832257435306794
6,842295,0.0782351247422489
7,701197,0.0651294792963163
8,864953,0.0803396741654437
9,1049332,0.0974654009771321
10,431113,0.040043190726533
11,691750,0.0642520109230741
12,726228,0.0674544407497539
13,568724,0.0528249521651093
14,352535,0.0327446081254296
15,273800,0.0254314428489161
16,430356,0.0399728780814029
